lap_id,lap_type,lap_num,mini_sector,timestamp,distance,speed,throttle,brake,gear,gps_x,gps_y,mini_sector_time
1,fp1,1,1,0.0,0.0,263.47,0.733,0.245,3,0.0,0.0,3.3662
1,fp1,1,1,0.8415,65.0,287.15,0.907,0.004,3,0.0,0.0,3.3662
1,fp1,1,1,1.6831,130.0,291.57,0.943,0.054,3,0.0,0.0,3.3662
1,fp1,1,1,2.5246,195.0,284.19,0.892,0.105,4,0.0,0.0,3.3662
1,fp1,1,2,3.3662,260.0,290.62,0.753,0.225,4,246.39,83.02,3.3714
1,fp1,1,2,4.209,332.5,311.87,0.919,0.08,4,246.39,83.02,3.3714
1,fp1,1,2,5.0519,405.0,322.21,0.969,0.0,4,246.39,83.02,3.3714
1,fp1,1,2,5.8947,477.5,309.17,0.932,0.034,5,246.39,83.02,3.3714
1,fp1,1,3,6.7376,550.0,296.84,0.776,0.164,5,425.06,349.03,3.4707
1,fp1,1,3,7.4317,612.0,319.72,0.887,0.059,5,425.06,349.03,3.4707
1,fp1,1,3,8.1259,674.0,332.32,0.929,0.016,5,425.06,349.03,3.4707
1,fp1,1,3,8.82,736.0,331.38,0.951,0.0,5,425.06,349.03,3.4707
1,fp1,1,3,9.5141,798.0,318.26,0.885,0.11,6,425.06,349.03,3.4707
1,fp1,1,4,10.2083,860.0,274.34,0.718,0.258,4,409.13,756.45,3.4286
1,fp1,1,4,11.0654,930.0,293.64,0.872,0.065,4,409.13,756.45,3.4286
1,fp1,1,4,11.9226,1000.0,303.68,0.938,0.041,4,409.13,756.45,3.4286
1,fp1,1,4,12.7797,1070.0,294.63,0.93,0.005,5,409.13,756.45,3.4286
1,fp1,1,5,13.6369,1140.0,245.38,0.767,0.216,3,165.62,1127.91,3.4804
1,fp1,1,5,14.507,1202.5,264.74,0.935,0.001,3,165.62,1127.91,3.4804
1,fp1,1,5,15.3771,1265.0,273.31,0.968,0.0,3,165.62,1127.91,3.4804
1,fp1,1,5,16.2472,1327.5,266.85,0.867,0.13,4,165.62,1127.91,3.4804
1,fp1,1,6,17.1173,1390.0,236.4,0.728,0.177,3,-230.65,1370.73,3.8521
1,fp1,1,6,18.0803,1457.5,257.1,0.875,0.06,3,-230.65,1370.73,3.8521
1,fp1,1,6,19.0433,1525.0,261.95,0.989,0.0,3,-230.65,1370.73,3.8521
1,fp1,1,6,20.0064,1592.5,253.98,0.869,0.075,4,-230.65,1370.73,3.8521
1,fp1,1,7,20.9694,1660.0,295.0,0.78,0.18,5,-801.96,1453.43,3.4425
1,fp1,1,7,21.6579,1720.0,310.97,0.911,0.038,5,-801.96,1453.43,3.4425
1,fp1,1,7,22.3464,1780.0,321.33,0.898,0.091,5,-801.96,1453.43,3.4425
1,fp1,1,7,23.0349,1840.0,324.81,0.968,0.0,5,-801.96,1453.43,3.4425
1,fp1,1,7,23.7234,1900.0,309.99,0.857,0.043,6,-801.96,1453.43,3.4425
1,fp1,1,8,24.4119,1960.0,306.86,0.777,0.222,6,-1509.65,1250.02,3.6052
1,fp1,1,8,25.133,2024.0,324.23,0.883,0.063,6,-1509.65,1250.02,3.6052
1,fp1,1,8,25.854,2088.0,332.87,0.953,0.035,6,-1509.65,1250.02,3.6052
1,fp1,1,8,26.5751,2152.0,334.0,0.936,0.0,6,-1509.65,1250.02,3.6052
1,fp1,1,8,27.2961,2216.0,325.24,0.847,0.103,7,-1509.65,1250.02,3.6052
1,fp1,1,9,28.0172,2280.0,301.72,0.778,0.192,5,-2183.75,655.45,3.261
1,fp1,1,9,28.8324,2352.5,322.42,0.901,0.084,5,-2183.75,655.45,3.261
1,fp1,1,9,29.6477,2425.0,332.49,0.954,0.0,5,-2183.75,655.45,3.261
1,fp1,1,9,30.463,2497.5,321.72,0.847,0.121,6,-2183.75,655.45,3.261
1,fp1,1,10,31.2782,2570.0,287.45,0.778,0.138,4,-2563.54,-182.08,3.045
1,fp1,1,10,32.0395,2635.0,305.03,0.852,0.06,4,-2563.54,-182.08,3.045
1,fp1,1,10,32.8007,2700.0,317.82,0.911,0.041,4,-2563.54,-182.08,3.045
1,fp1,1,10,33.562,2765.0,303.57,0.915,0.009,5,-2563.54,-182.08,3.045
1,fp1,1,11,34.3233,2830.0,275.36,0.754,0.22,4,-2611.09,-1091.38,3.4113
1,fp1,1,11,35.1761,2900.0,298.21,0.885,0.094,4,-2611.09,-1091.38,3.4113
1,fp1,1,11,36.0289,2970.0,304.74,0.972,0.008,4,-2611.09,-1091.38,3.4113
1,fp1,1,11,36.8817,3040.0,294.89,0.936,0.0,5,-2611.09,-1091.38,3.4113
1,fp1,1,12,37.7345,3110.0,266.09,0.722,0.256,4,-2284.21,-2110.57,3.9734
1,fp1,1,12,38.5292,3172.0,281.54,0.875,0.102,4,-2284.21,-2110.57,3.9734
1,fp1,1,12,39.3239,3234.0,290.99,0.9,0.037,4,-2284.21,-2110.57,3.9734
1,fp1,1,12,40.1186,3296.0,291.04,0.978,0.0,4,-2284.21,-2110.57,3.9734
1,fp1,1,12,40.9132,3358.0,280.03,0.845,0.088,5,-2284.21,-2110.57,3.9734
1,fp1,1,13,41.7079,3420.0,301.76,0.783,0.16,6,-1448.63,-3098.04,2.9941
1,fp1,1,13,42.4564,3487.5,326.45,0.917,0.002,6,-1448.63,-3098.04,2.9941
1,fp1,1,13,43.205,3555.0,333.92,0.912,0.045,6,-1448.63,-3098.04,2.9941
1,fp1,1,13,43.9535,3622.5,326.13,0.888,0.039,7,-1448.63,-3098.04,2.9941
1,fp1,1,14,44.702,3690.0,321.33,0.72,0.24,7,-367.98,-3671.61,3.1434
1,fp1,1,14,45.4879,3762.5,340.84,0.924,0.051,7,-367.98,-3671.61,3.1434
